motif	cluster	HGNC	HGNC_mm	sub_cluster	sub_cluster_name
BHLHA15_MA0607.2	C_ATOH7	BHLHA15	Bhlha15	6A	C_ASCL;MYOD1
Bhlha15_MA1472.3	C_Twist2	BHLHA15	Bhlha15	6A	C_ASCL;MYOD1
BHLHE22_MA0818.2	C_ATOH7	BHLHE22	Bhlhe22	6A	C_ASCL;MYOD1
BHLHE22_MA1635.2	C_Twist2	BHLHE22	Bhlhe22	6A	C_ASCL;MYOD1
BHLHE23_MA0817.2	C_ATOH7	BHLHE23	Bhlhe23	6A	C_ASCL;MYOD1
BHLHE40_MA0464.3	C_ARNT2	BHLHE40	Bhlhe40	21A	C_HIF1A;HEY1
BHLHE41_MA0636.1	C_BHLHE41	BHLHE41	Bhlhe41	21A	C_HIF1A;HEY1
BNC2_MA1928.2	C_FOS::JUND	BNC2	Bnc2	1A	C_ATF;FOS;JUN
BSX_MA0876.2	C_Dlx2	BSX	Bsx	3A	C_HOXB3;HOXA2;DLX
CDX1_MA0878.3	C_HOXA10	CDX1	Cdx1	45A	C_HOXA10;HOXB13
CDX2_MA0465.3	C_HOXB13	CDX2	Cdx2	45A	C_HOXA10;HOXB13
CDX4_MA1473.2	C_HOXA10	CDX4	Cdx4	45A	C_HOXA10;HOXB13
CEBPA_MA0102.5	C_CEBPB	CEBPA	Cebpa	5A	C_CEBPA;DBP
CEBPB_MA0466.4	C_CEBPB	CEBPB	Cebpb	5A	C_CEBPA;DBP
CEBPD_MA0836.3	C_CEBPB	CEBPD	Cebpd	5A	C_CEBPA;DBP
CEBPE_MA0837.3	C_CEBPB	CEBPE	Cebpe	5A	C_CEBPA;DBP
CEBPG_MA0838.1	C_CEBPB	CEBPG	Cebpg	5A	C_CEBPA;DBP
CEBPG_MA1636.2	C_CEBPG	CEBPG	Cebpg	5A	C_CEBPA;DBP
CLOCK_MA0819.3	C_Mlxip	CLOCK	Clock	21A	C_HIF1A;HEY1
CREB1_MA0018.5	C_FOSL2::JUN	CREB1	Creb1	1A	C_ATF;FOS;JUN
CREB3_MA0638.2	C_CREB3	CREB3	Creb3	13B	C_SREBF;CREB3
CREB3L1_MA0839.2	C_CREB3	CREB3L1	Creb3l1	13B	C_SREBF;CREB3
Creb3l2_MA0608.1	C_Creb3l2	CREB3L2	Creb3l2	21A	C_HIF1A;HEY1
CREB3L4_MA1474.2	C_CREB3L4	CREB3L4	Creb3l4	1A	C_ATF;FOS;JUN
CREB3L4_MA1475.2	C_FOSL2::JUN	CREB3L4	Creb3l4	1A	C_ATF;FOS;JUN
Creb5_MA0840.2	C_FOSL2::JUN	CREB5	Creb5	1A	C_ATF;FOS;JUN
CREM_MA0609.3	C_FOSL2::JUN	CREM	Crem	1A	C_ATF;FOS;JUN
Crx_MA0467.3	C_RHOXF1	CRX	Crx	29A	C_Dmbx1;DPRX
CTCF_MA0139.2	C_CTCF	CTCF	Ctcf	76A	C_CTCF
CTCF_MA1929.2	C_CTCF	CTCF	Ctcf	76A	C_CTCF
CTCF_MA1930.2	C_CTCF	CTCF	Ctcf	76A	C_CTCF
CTCFL_MA1102.3	C_CTCFL	CTCFL	Ctcfl	62A	C_INSM1;CTCFL
CUX1_MA0754.3	C_ONECUT3	CUX1	Cux1	35A	C_ONECUT1
CUX2_MA0755.2	C_ONECUT3	CUX2	Cux2	35A	C_ONECUT1
DBP_MA0639.2	C_DBP	DBP	Dbp	5A	C_CEBPA;DBP
Ddit3Cebpa_MA0019.2	C_Ddit3::Cebpa	DDIT3::CEBPA	Ddit3::Cebpa	5A	C_CEBPA;DBP
DLX1_MA0879.3	C_Dlx2	DLX1	Dlx1	3A	C_HOXB3;HOXA2;DLX
Dlx2_MA0885.3	C_Dlx2	DLX2	Dlx2	3A	C_HOXB3;HOXA2;DLX
Dlx3_MA0880.2	C_Dlx2	DLX3	Dlx3	3A	C_HOXB3;HOXA2;DLX
Dlx4_MA0881.2	C_Dlx2	DLX4	Dlx4	3A	C_HOXB3;HOXA2;DLX
Dlx5_MA1476.3	C_Dlx2	DLX5	Dlx5	3A	C_HOXB3;HOXA2;DLX
DLX6_MA0882.2	C_mix-a	DLX6	Dlx6	3A	C_HOXB3;HOXA2;DLX
Dmbx1_MA0883.2	C_RHOXF1	DMBX1	Dmbx1	108A	C_DMBX1
Dmrt1_MA1603.2	C_Dmrt1	DMRT1	Dmrt1	8A	C_SOX
DMRT3_MA0610.2	C_DMRT3	DMRT3	Dmrt3	26A	C_DMRTC2
DMRTA1_MA1707.2	C_DMRTA1	DMRTA1	Dmrta1	26A	C_DMRTC2
DMRTA2_MA1478.2	C_DMRTA2	DMRTA2	Dmrta2	26A	C_DMRTC2
DMRTC2_MA1479.2	C_DMRTC2	DMRTC2	Dmrtc2	26A	C_DMRTC2
DPRX_MA1480.2	C_DPRX	DPRX	NA	29A	C_Dmbx1;DPRX
DRGX_MA1481.2	C_mix-a	DRGX	Drgx	3A	C_HOXB3;HOXA2;DLX
Dux_MA0611.3	C_Dux	DUX	Dux	68A	C_DUX;ZNF85
DUX4_MA0468.1	C_DUX4	DUX4	NA	38A	C_DUX4;PHOX2A
DUXA_MA0884.2	C_DUXA	DUXA	Dux	38A	C_DUX4;PHOX2A
E2F1_MA0024.3	C_E2F4	E2F1	E2f1	53A	C_E2F1-8
E2F2_MA0864.3	C_E2F4	E2F2	E2f2	53A	C_E2F1-8
E2F3_MA0469.4	C_E2F3	E2F3	E2f3	53A	C_E2F1-8
E2F4_MA0470.3	C_E2F4	E2F4	E2f4	53A	C_E2F1-8
E2F6_MA0471.3	C_E2F6	E2F6	E2f6	53A	C_E2F1-8
E2F7_MA0758.1	C_E2F7	E2F7	E2f7	53A	C_E2F1-8
E2F8_MA0865.3	C_E2F8	E2F8	E2f8	53A	C_E2F1-8
EBF1_MA0154.5	C_EBF1	EBF1	Ebf1	7A	C_EBF;TFAP2
Ebf2_MA1604.2	C_EBF3	EBF2	Ebf2	7A	C_EBF;TFAP2
EBF3_MA1637.2	C_EBF3	EBF3	Ebf3	7A	C_EBF;TFAP2
Ebf4_MA2122.1	C_EBF1	EBF4	Ebf4	7A	C_EBF;TFAP2
EGR1_MA0162.5	C_EGR1	EGR1	Egr1	27A	C_EGR1;KLF;SP;ZNF
EGR2_MA0472.2	C_EGR1	EGR2	Egr2	27A	C_EGR1;KLF;SP;ZNF
EGR3_MA0732.2	C_EGR1	EGR3	Egr3	27A	C_EGR1;KLF;SP;ZNF
EGR4_MA0733.2	C_EGR1	EGR4	Egr4	27A	C_EGR1;KLF;SP;ZNF
EHF_MA0598.4	C_GABPA	EHF	Ehf	9A	C_ELF;ETS;ELK
ELF1_MA0473.4	C_GABPA	ELF1	Elf1	9A	C_ELF;ETS;ELK
ELF2_MA1483.3	C_ELF2	ELF2	Elf2	9A	C_ELF;ETS;ELK
ELF3_MA0640.3	C_GABPA	ELF3	Elf3	9A	C_ELF;ETS;ELK
ELF4_MA0641.1	C_ELF2	ELF4	Elf4	9A	C_ELF;ETS;ELK
Elf5_MA0136.4	C_IKZF2	ELF5	Elf5	9A	C_ELF;ETS;ELK
ELK1_MA0028.3	C_ETS1	ELK1	Elk1	9A	C_ELF;ETS;ELK
ELK1HOXA1_MA1931.1	C_ELK1::HOXA1	ELK1::HOXA1	Elk1::Hoxa1	9A	C_ELF;ETS;ELK
ELK1HOXB13_MA1932.2	C_ELK1::HOXB13	ELK1::HOXB13	Elk1::Hoxb13	9A	C_ELF;ETS;ELK
ELK1SREBF2_MA1933.2	C_ELK1::SREBF2	ELK1::SREBF2	Erf::Hoxb13	9A	C_ELF;ETS;ELK
ELK3_MA0759.3	C_ETS1	ELK3	Elk3	9A	C_ELF;ETS;ELK
ELK4_MA0076.3	C_ETS1	ELK4	Elk4	9A	C_ELF;ETS;ELK
EMX1_MA0612.3	C_mix-a	EMX1	Emx1	3A	C_HOXB3;HOXA2;DLX
EMX2_MA0886.2	C_mix-a	EMX2	Emx2	3A	C_HOXB3;HOXA2;DLX
EN1_MA0027.3	C_mix-a	EN1	En1	3A	C_HOXB3;HOXA2;DLX
EN2_MA0642.3	C_PRRX2	EN2	En2	3A	C_HOXB3;HOXA2;DLX
EOMES_MA0800.2	C_TBX2	EOMES	Eomes	13A	C_EOMES;TBX
EPAS1_MA2325.1	C_EPAS1	EPAS1	Epas1	13B	C_SREBF;CREB3
ERF_MA0760.2	C_ETS1	ERF	Erf	9A	C_ELF;ETS;ELK
ERFFIGLA_MA1934.2	C_ETV5::FIGLA	ERF::FIGLA	Erf::Figla	40A	C_ETV2;FIGLA
ERFFOXI1_MA1935.2	C_ETV2::FOXI1	ERF::FOXI1	Erf::Foxi1	9A	C_ELF;ETS;ELK
ERFFOXO1_MA1936.2	C_FOXO1::ELK1	ERF::FOXO1	Erf::Foxo1	9A	C_ELF;ETS;ELK
ERFHOXB13_MA1937.2	C_ERF::HOXB13	ERF::HOXB13	Erf::Hoxb13	9A	C_ELF;ETS;ELK
ERFNHLH1_MA1938.2	C_ERF::NHLH1	ERF::NHLH1	Erf::Nhlh1	96A	C_ERF;NHLH1
ERFSREBF2_MA1939.2	C_ERF::SREBF2	ERF::SREBF2	Erf::Srebf2	9A	C_ELF;ETS;ELK
Erg_MA0474.4	C_GABPA	ERG	Erg	9A	C_ELF;ETS;ELK
ESR1_MA0112.4	C_ESR2	ESR1	Esr1	59A	C_PPARG;ESR
ESR2_MA0258.2	C_ESR2	ESR2	Esr2	59A	C_PPARG;ESR
ESRRA_MA0592.4	C_Nr1h3	ESRRA	Esrra	4A	C_NR1H2;PPARA
ESRRB_MA0141.4	C_ESRRB	ESRRB	Esrrb	4A	C_NR1H2;PPARA
Esrrg_MA0643.2	C_Nr1h3	ESRRG	Esrrg	4A	C_NR1H2;PPARA
ESX1_MA0644.3	C_mix-a	ESX1	Esx1 	3A	C_HOXB3;HOXA2;DLX
ETS1_MA0098.4	C_ETS1	ETS1	Ets1	9A	C_ELF;ETS;ELK
ETS2_MA1484.2	C_ETS1	ETS2	Ets2	9A	C_ELF;ETS;ELK
ETV1_MA0761.3	C_GABPA	ETV1	Etv1	9A	C_ELF;ETS;ELK
ETV2_MA0762.2	C_ETS1	ETV2	Etv2	9A	C_ELF;ETS;ELK
ETV2DRGX_MA1940.2	C_ETV5::DRGX	ETV2::DRGX	Etv2::Drgx	9A	C_ELF;ETS;ELK
ETV2FIGLA_MA1941.2	C_ETV5::FIGLA	ETV2::FIGLA	Etv2::Figla	40A	C_ETV2;FIGLA
ETV2FOXI1_MA1942.2	C_ETV2::FOXI1	ETV2::FOXI1	Etv2::Foxi1	9A	C_ELF;ETS;ELK
ETV2HOXB13_MA1943.2	C_ETV2::HOXB13	ETV2::HOXB13	Etv2::Hoxb13	9A	C_ELF;ETS;ELK
ETV3_MA0763.2	C_ETS1	ETV3	Etv3	9A	C_ELF;ETS;ELK
ETV4_MA0764.4	C_ETS1	ETV4	Etv4	9A	C_ELF;ETS;ELK
ETV5_MA0765.4	C_ETS1	ETV5	Etv5	9A	C_ELF;ETS;ELK
ETV5DRGX_MA1944.2	C_ETV5::DRGX	ETV5::DRGX	Etv5::Drgx	9A	C_ELF;ETS;ELK
ETV5FIGLA_MA1945.2	C_ETV5::FIGLA	ETV5::FIGLA	Etv5::Figla	40A	C_ETV2;FIGLA
ETV5FOXI1_MA1946.2	C_FOXO1::ELK1	ETV5::FOXI1	Etv5::Foxi1	9A	C_ELF;ETS;ELK
ETV5FOXO1_MA1947.2	C_ETV5::FOXO1	ETV5::FOXO1	Etv5::Foxo1	9A	C_ELF;ETS;ELK
ETV5HOXA2_MA1948.2	C_ETV5::HOXA2	ETV5::HOXA2	Etv5::Hoxa2	9A	C_ELF;ETS;ELK
ETV6_MA0645.2	C_GABPA	ETV6	Etv6	9A	C_ELF;ETS;ELK
ETV7_MA1708.2	C_GABPA	ETV7	NA	9A	C_ELF;ETS;ELK
EVX1_MA0887.2	C_mix-a	EVX1	Evx1	3A	C_HOXB3;HOXA2;DLX
EVX2_MA0888.2	C_mix-a	EVX2	Evx2	3A	C_HOXB3;HOXA2;DLX
EWSR1-FLI1_MA0149.1	C_EWSR1-FLI1	EWSR1::FLI1	Ewsr1::Fli1	90A	C_EWSR1-FLI1
FERD3L_MA1485.1	C_FERD3L	FERD3L	Ferd3l	6A	C_ASCL;MYOD1
FEV_MA0156.4	C_ETS1	FEV	Fev	9A	C_ELF;ETS;ELK
FEZF2_MA2341.1	C_FEZF2	FEZF2	Fezf2	#N/A	#N/A
FIGLA_MA0820.2	C_TCF3	FIGLA	Figla	6A	C_ASCL;MYOD1
FLI1_MA0475.3	C_ETS1	FLI1	Fli1	9A	C_ELF;ETS;ELK
FLI1DRGX_MA1949.2	C_FLI1::DRGX	FLI1::DRGX	Fli1::Drgx	9A	C_ELF;ETS;ELK
FLI1FOXI1_MA1950.2	C_ETV2::FOXI1	FLI1::FOXI1	Fli1::Foxi1	9A	C_ELF;ETS;ELK
FOS_MA0476.2	C_FOS::JUND	FOS	Fos	1A	C_ATF;FOS;JUN
FOS_MA1951.2	C_FOSL2::JUN	FOS	Fos	1A	C_ATF;FOS;JUN
FOSBJUN_MA1127.1	C_FOSL2::JUN	FOSB::JUN	Fosb::Jun	1A	C_ATF;FOS;JUN
FOSBJUNB_MA1135.2	C_FOS::JUND	FOSB::JUNB	Fosb::Junb	1A	C_ATF;FOS;JUN
FOSBJUNB_MA1136.1	C_FOSL2::JUN	FOSB::JUNB	Fosb::Junb	1A	C_ATF;FOS;JUN
FOSJUN_MA0099.4	C_FOS::JUND	FOS::JUN	Fos::Jun	1A	C_ATF;FOS;JUN
FOSJUN_MA1126.2	C_FOSL2::JUN	FOS::JUN	Fos::Jun	1A	C_ATF;FOS;JUN
FOSJUNB_MA1134.2	C_FOS::JUND	FOS::JUNB	Fos::Junb	1A	C_ATF;FOS;JUN
FOSJUND_MA1141.2	C_FOS::JUND	FOS::JUND	Fos::Jund	1A	C_ATF;FOS;JUN
FOSL1_MA0477.3	C_FOS::JUND	FOSL1	Fosl1	1A	C_ATF;FOS;JUN
FOSL1JUN_MA1128.2	C_FOS::JUND	FOSL1::JUN	Fosl1::Jun	1A	C_ATF;FOS;JUN
FOSL1JUN_MA1129.1	C_FOSL2::JUN	FOSL1::JUN	Fosl1::Jun	1A	C_ATF;FOS;JUN
FOSL1JUNB_MA1137.2	C_FOS::JUND	FOSL1::JUNB	Fosl1::Junb	1A	C_ATF;FOS;JUN
FOSL1JUND_MA1142.2	C_FOS::JUND	FOSL1::JUND	Fosl1::Jund	1A	C_ATF;FOS;JUN
FOSL1JUND_MA1143.2	C_FOSL1::JUND	FOSL1::JUND	Fosl1::Jund	1A	C_ATF;FOS;JUN
FOSL2_MA0478.2	C_FOS::JUND	FOSL2	Fosl2	1A	C_ATF;FOS;JUN
FOSL2JUN_MA1130.2	C_FOS::JUND	FOSL2::JUN	Fosl2::Jun	1A	C_ATF;FOS;JUN
FOSL2JUN_MA1131.2	C_FOSL2::JUN	FOSL2::JUN	Fosl2::Jun	1A	C_ATF;FOS;JUN
FOSL2JUNB_MA1138.2	C_FOS::JUND	FOSL2::JUNB	Fosl2::Junb	1A	C_ATF;FOS;JUN
FOSL2JUNB_MA1139.2	C_FOSL2::JUN	FOSL2::JUNB	Fosl2::Junb	1A	C_ATF;FOS;JUN
FOSL2JUND_MA1144.2	C_FOS::JUND	FOSL2::JUND	Fosl2::Jund	1A	C_ATF;FOS;JUN
FOSL2JUND_MA1145.2	C_FOSL2::JUN	FOSL2::JUND	Fosl2::Jund	1A	C_ATF;FOS;JUN
FOXA1_MA0148.5	C_FOXP4	FOXA1	Foxa1	10A	C_FOX
FOXA2_MA0047.4	C_FOXP4	FOXA2	Foxa2	10A	C_FOX
FOXA3_MA1683.2	C_FOXP4	FOXA3	Foxa3	10A	C_FOX
FOXB1_MA0845.1	C_FOXC2	FOXB1	Foxb1	10A	C_FOX
FOXC1_MA0032.2	C_FOXC2	FOXC1	Foxc1	10A	C_FOX
FOXC2_MA0846.2	C_FOXC2	FOXC2	Foxc2	10A	C_FOX
FOXD1_MA0031.2	C_FOXP4	FOXD1	Foxd1	10A	C_FOX
FOXD2_MA0847.4	C_FOXE1	FOXD2	Foxd2	10A	C_FOX
FOXD3_MA0041.3	C_FOXD3	FOXD3	Foxd3	10A	C_FOX
FOXE1_MA1487.3	C_FOXE1	FOXE1	Foxe1	10A	C_FOX
Foxf1_MA1606.2	C_FOXP4	FOXF1	Foxf1	10A	C_FOX
FOXF2_MA0030.2	C_FOXP4	FOXF2	Foxf2	10A	C_FOX
FOXG1_MA0613.1	C_FOXP4	FOXG1	Foxg1	10A	C_FOX
FOXH1_MA0479.2	C_FOXH1	FOXH1	Foxh1	29A	C_Dmbx1;DPRX
FOXI1_MA0042.2	C_FOXP4	FOXI1	Foxi1	10A	C_FOX
Foxj2_MA0614.1	C_FOXP4	FOXJ2	Foxj2	10A	C_FOX
FOXJ2ELF1_MA1952.2	C_ETV2::FOXI1	FOXJ2::ELF1	Foxj2::Elf1	9A	C_ELF;ETS;ELK
Foxj3_MA0851.2	C_FOXP4	FOXJ3	Foxj3	10A	C_FOX
FOXK1_MA0852.3	C_FOXP4	FOXK1	Foxk1	10A	C_FOX
FOXK2_MA1103.3	C_FOXP4	FOXK2	Foxk2	10A	C_FOX
FOXL1_MA0033.2	C_FOXP4	FOXL1	Foxl1	10A	C_FOX
Foxl2_MA1607.2	C_FOXP4	FOXL2	Foxl2	10A	C_FOX
Foxn1_MA1684.1	C_Foxn1	FOXN1	Foxn1	110A	C_FOXN1
FOXN3_MA1489.1	C_FOXN3	FOXN3	Foxn3	10A	C_FOX
Foxo1_MA0480.3	C_FOXP4	FOXO1	Foxo1	10A	C_FOX
FOXO1ELF1_MA1953.2	C_FOXO1::ELK1	FOXO1::ELF1	Foxo1::Elf1	9A	C_ELF;ETS;ELK
FOXO1ELK1_MA1954.2	C_FOXO1::ELK1	FOXO1::ELK1	Foxo1::Elk1	9A	C_ELF;ETS;ELK
FOXO1ELK3_MA1955.2	C_FOXO1::ELK1	FOXO1::ELK3	Foxo1::Elk3	9A	C_ELF;ETS;ELK
FOXO1FLI1_MA1956.2	C_FOXO1::ELK1	FOXO1::FLI1	Foxo1::Fli1	9A	C_ELF;ETS;ELK
Foxo3_MA0157.4	C_FOXP4	FOXO3	Foxo3	10A	C_FOX
FOXO4_MA0848.1	C_FOXP4	FOXO4	Foxo4	10A	C_FOX
FOXO6_MA0849.1	C_FOXP4	FOXO6	Foxo6	10A	C_FOX
FOXP1_MA0481.4	C_FOXP4	FOXP1	Foxp1	10A	C_FOX
FOXP2_MA0593.2	C_FOXP4	FOXP2	Foxp2	10A	C_FOX
FOXP3_MA0850.1	C_FOXP4	FOXP3	Foxp3	10A	C_FOX
FOXP4_MA2117.1	C_FOXP4	FOXP4	Foxp4	10A	C_FOX
Foxq1_MA0040.2	C_Foxq1	FOXQ1	Foxq1	10A	C_FOX
FOXS1_MA2118.1	C_FOXP4	FOXS1	Foxs1	10A	C_FOX
GABPA_MA0062.4	C_GABPA	GABPA	Gabpa	9A	C_ELF;ETS;ELK
GATA1_MA0035.5	C_Gata3	GATA1	Gata1	11A	C_GATA
GATA1TAL1_MA0140.3	C_GATA1::TAL1	GATA1::TAL1	Gata1::Tal1	120A	C_GATA1;TAL1
GATA2_MA0036.4	C_Gata3	GATA2	Gata2	11A	C_GATA
Gata3_MA0037.5	C_Gata3	GATA3	Gata3	11A	C_GATA
GATA4_MA0482.3	C_Gata3	GATA4	Gata4	11A	C_GATA
GATA5_MA0766.3	C_Gata3	GATA5	Gata5	11A	C_GATA
GATA6_MA1104.3	C_Gata3	GATA6	Gata6	11A	C_GATA
GBX1_MA0889.2	C_PRRX2	GBX1	Gbx1	3A	C_HOXB3;HOXA2;DLX
GBX2_MA0890.2	C_Dlx2	GBX2	Gbx2	3A	C_HOXB3;HOXA2;DLX
GCM1_MA0646.2	C_GCM1	GCM1	Gcm1	52A	C_GCM1;GCM2
GCM2_MA0767.2	C_GCM2	GCM2	Gcm2	52A	C_GCM1;GCM2
GFI1_MA0038.3	C_GFI1	GFI1	Gfi1	55A	C_GFI1
Gfi1B_MA0483.2	C_Gfi1B	GFI1B	Gfi1b	55A	C_GFI1
Gli1_MA1990.2	C_Gli2	GLI1	Gli1	36A	C_GLI1
Gli2_MA0734.4	C_Gli2	GLI2	Gli2	36A	C_GLI1
GLI3_MA1491.3	C_GLI3	GLI3	Gli3	46A	C_ZIC1;GLI;GLIS1-3
GLIS1_MA0735.2	C_GLIS1	GLIS1	Glis1	46A	C_ZIC1;GLI;GLIS1-3
GLIS2_MA0736.1	C_GLIS2	GLIS2	Glis2	46A	C_ZIC1;GLI;GLIS1-3
GLIS3_MA0737.1	C_GLIS3	GLIS3	Glis3	46A	C_ZIC1;GLI;GLIS1-3
Gmeb1_MA0615.2	C_GMEB2	GMEB1	Gmeb1	106A	C_GMEB1
GMEB2_MA0862.1	C_GMEB2	GMEB2	Gmeb2	1A	C_ATF;FOS;JUN
GRHL1_MA0647.2	C_GRHL1	GRHL1	Grhl1	33B	C_GRHL2
GRHL2_MA1105.3	C_GRHL2	GRHL2	Grhl2	33B	C_GRHL2
GSC_MA0648.2	C_RHOXF1	GSC	Gsc	29A	C_Dmbx1;DPRX
GSC2_MA0891.2	C_RHOXF1	GSC2	Gsc2	29A	C_Dmbx1;DPRX
GSX1_MA0892.2	C_mix-a	GSX1	Gsx1	3A	C_HOXB3;HOXA2;DLX
GSX2_MA0893.3	C_mix-a	GSX2	Gsx2	3A	C_HOXB3;HOXA2;DLX
Hand1_MA2123.1	C_Hand1	HAND1	Hand1	64A	C_HAND1;TCF3;SMAD2
Hand1Tcf3_MA0092.2	C_Hand1::Tcf3	HAND1::TCF3	Hand1::Tcf3	64A	C_HAND1;TCF3;SMAD2
HAND2_MA1638.2	C_NEUROD1	HAND2	Hand2	6A	C_ASCL;MYOD1
HES1_MA1099.3	C_ARNT2	HES1	Hes1	21A	C_HIF1A;HEY1
HES2_MA0616.3	C_Mlxip	HES2	Hes2	21A	C_HIF1A;HEY1
HES5_MA0821.2	C_Mlxip	HES5	Hes5	21A	C_HIF1A;HEY1
HES6_MA1493.1	C_HES6	HES6	Hes6	21A	C_HIF1A;HEY1
HES7_MA0822.1	C_HES7	HES7	Hes7	21A	C_HIF1A;HEY1
HESX1_MA0894.2	C_mix-a	HESX1	Hesx1	3A	C_HOXB3;HOXA2;DLX
HEY1_MA0823.1	C_Mlxip	HEY1	Hey1	21A	C_HIF1A;HEY1
HEY2_MA0649.2	C_Mlxip	HEY2	Hey2	21A	C_HIF1A;HEY1
Hic1_MA0739.2	C_Hic1	HIC1	Hic1	49A	C_NFIA;HIC
HIC2_MA0738.2	C_HIC2	HIC2	Hic2	49A	C_NFIA;HIC
HIF1A_MA1106.2	C_Mlxip	HIF1A	Hif1a	21A	C_HIF1A;HEY1
HINFP_MA0131.3	C_HINFP	HINFP	Hinfp	116A	C_HINFP
HLF_MA0043.4	C_DBP	HLF	Hlf	5A	C_CEBPA;DBP
HMBOX1_MA0895.2	C_HMBOX1	HMBOX1	Hmbox1	81A	C_HMBOX1;ZNF652
Hmga1_MA2124.1	C_Hmga1	HMGA1	Hmga1	#N/A	#N/A
Hmx1_MA0896.2	C_Hmx3	HMX1	Hmx1	22A	C_HMX3
Hmx2_MA0897.2	C_Hmx3	HMX2	Hmx2	22A	C_HMX3
Hmx3_MA0898.2	C_Hmx3	HMX3	Hmx3	22A	C_HMX3
HNF1A_MA0046.3	C_HNF1A	HNF1A	Hnf1a	4A	C_NR1H2;PPARA
